what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1513254080583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1513254080659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1513254080939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254081644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254083732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254263675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254324552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254325558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254333665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254335534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254336982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254349887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254355298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254356233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254411196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254430004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254437396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1513254439703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254451930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254452833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254465645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1513254467566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254476076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254477068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254530250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254535866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254536794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254545514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254548518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254549362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254645459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254648847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254650058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254662886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513254670432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254671178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254716127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254720437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513254749296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1513254761464
